"","i","con.e","con.se","tre.e","tre.se"
"522",522,244.362,41.031,245.288,40.164
"523",523,255.145,43.463,139.725,46.442
"524",524,158.02,37.577,270.985,30.253
"525",525,148.999,38.299,193.858,36.356
"526",526,177.337,46.719,221.608,40.685
"527",527,206.09,43.634,208.324,41.392
"528",528,141.672,39.025,147.61,31.924
"529",529,234.494,47.783,148.201,32.757
"530",530,238.186,35.82,261.061,43.773
"531",531,154.35,23.865,159.137,40.422
"532",532,188.339,41.401,193.623,45.109
"533",533,195.114,36.293,163.553,33.045
"534",534,181.914,44.636,155.653,36.578
"535",535,134.245,36.419,209.968,41.522
"536",536,217.757,39.382,191.882,44.994
"537",537,253.677,36.795,212.11,43.818
"538",538,197.846,39.896,233.296,39.55
"539",539,214.51,37.384,174.733,46.743
"540",540,109.972,30.746,173.569,31.64
"541",541,170.949,41.668,205.553,45.171
"542",542,193.602,45.188,223.044,35.447
"543",543,218.546,47.546,206.875,38.976
"544",544,246.12,34.373,237.672,32.404
"545",545,177.274,47.662,229.851,37.236
"546",546,75.181,23.465,87.49,19.857
"547",547,175.552,39.388,224.764,44.086
"548",548,177.305,48.041,139.823,34.917
"549",549,238.969,41.925,216.901,46.668
"550",550,149.592,13.462,151.58,15.729
"551",551,175.581,38.979,209.236,33.49
"552",552,162.077,43.329,176.375,48.337
"553",553,183.209,44.415,222.92,42.375
"554",554,228.8,34.819,257.652,36.072
"555",555,183.466,38.526,141.27,30.43
"556",556,162.05,42.06,204.853,43.967
"557",557,222.313,38.042,174.283,42.155
"558",558,157.465,42.649,223.127,48.08
"559",559,324.078,23.061,204.052,43.723
"560",560,207.768,45.871,159.324,42.375
"561",561,195.208,34.533,156.738,42.811
"562",562,207.586,41.097,219.727,43.173
"563",563,238.017,39.953,138.5,38.133
"564",564,195.736,43.833,110.845,35.445
"565",565,125.87,38.35,217.075,40.842
"566",566,124.341,37.151,115.362,24.048
"567",567,241.251,41.141,238.97,37.605
"568",568,158.636,45.969,170.165,38.083
"569",569,252.959,32.888,283.514,21.39
"570",570,192.065,24.649,115.23,26.595
"571",571,161.948,37.059,192.319,41.524
"572",572,210.42,41.49,232.679,38.529
"573",573,191.485,42.247,245.171,39.387
"574",574,170.788,42.179,194.272,42.005
"575",575,196.458,32.472,231.862,40.49
"576",576,194.293,45.939,206.221,45.906
"577",577,152.055,48.311,162.858,45.689
"578",578,143.641,33.429,204.34,42.542
"579",579,192.644,42.514,148.437,43.522
"580",580,244.433,43.454,200.445,31.403
"581",581,141.878,21.826,174.777,31.837
"582",582,161.277,38.658,172.938,37.112
"583",583,172.731,43.766,229.589,41.519
"584",584,193.24,38.663,270.688,28.665
"585",585,201.852,41.937,183.574,36.695
"586",586,112.186,26.495,216.658,26.527
"587",587,173.152,35.092,164.356,45.231
"588",588,163.901,35.372,205.3,39.653
"589",589,270.182,35.128,187.441,40.344
"590",590,145.772,33.86,180.713,28.351
"591",591,220.228,46.947,129.035,40.015
"592",592,162.364,32.976,231.889,42.984
"593",593,208.611,43.489,215.805,38.169
"594",594,122.34,34.963,214.553,38.148
"595",595,190.666,42.197,248.512,42.016
"596",596,187.497,46.773,124.714,33.977
"597",597,127.827,29.264,142.67,38.107
"598",598,165.779,41.177,217.173,46.369
"599",599,132.57,42.223,233.194,41.982
"600",600,197.224,44.714,199.186,44.943
"601",601,133.702,38.402,170.268,37.108
"602",602,231.132,40.35,171.058,42.171
"603",603,237.212,41.49,194.086,39.767
"604",604,146.08,37.407,194.27,44.557
"605",605,246.599,39.337,167.424,50.202
"606",606,201.686,36.325,138.499,37.205
"607",607,187.671,36.534,171.053,38.175
"608",608,171.657,38.814,198.155,43.152
"609",609,188.421,41.459,207.309,45.14
"610",610,129.055,34.186,188.644,40.458
"611",611,152.236,42.527,203.451,37.512
"612",612,192.929,43.52,188.659,46.633
"613",613,205.704,36.951,193.669,42.12
"614",614,194.908,37.51,252.61,30.39
"615",615,242.854,44.199,150.066,36.956
"616",616,154.99,36.491,273.979,35.139
